fid,aspect,elv,flowAcc,planCurv,profCurv,riverProx,roadProx,slope,SPI,TPI,TRI,TWI,xcoord,ycoord,lithology_0,lithology_6,lithology_10,lithology_17,lithology_53,lithology_57,lithology_79,lithology_82,lithology_110,lithology_151,lithology_165,lithology_197,lithology_232,lithology_237,lithology_243,lithology_278,lithology_307,lithology_315,lithology_316,lithology_360,lithology_375,lithology_404,lithology_424,lithology_427,lithology_429,lithology_434,lithology_443,lithology_481,lithology_488,lithology_490,lithology_547,lithology_573,lithology_591,lithology_679,lithology_686,lithology_785,lithology_792,lithology_803,lithology_808,lithology_816,lithology_835,soil_0,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_15,soil_16,soil_17
22,0.5386620400121392,0.03612013066843929,0.0020893898600491782,0.4867508478108389,0.4867508478108389,0.25910111910510114,0.2263801392055253,0.1853483030801549,0.25901227844924113,0.564357031459479,0.003644686792892693,0.7212514329778408,3356694.083,500885.142700003,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
23,0.4562627697869156,0.04066856161037804,0.009506914693667922,0.483590267479567,0.483590267479567,0.26905579539665586,0.2983020587445695,0.12193502632154121,0.25888136305151105,0.5629369942484543,0.0024718106513041444,0.7865480730449175,3356146.3522,500885.7695,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24,0.38379688896198727,0.047195654739609634,0.011494968033163945,0.46959423943288453,0.46959423943288453,0.2717854738790411,0.3049130751421037,0.2151867955109201,0.25901571026450604,0.5608802041466011,0.005452720391720274,0.653673873347458,3356009.4389,500914.965799998,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
25,0.051071777223702125,0.056696685793341584,0.0017621676999425733,0.4873944366588998,0.4873944366588998,0.27739989830694545,0.29215739600331514,0.23744569402782725,0.25859807380184746,0.5611478572066524,0.005255376999713132,0.8442801018447261,3355888.2474,501118.364700002,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26,0.09148145000347575,0.043851727424799966,0.002598196727374085,0.4881531509916502,0.4881531509916502,0.26846557121932474,0.244065056108768,0.1909922771861771,0.25899367237137455,0.5637944071594657,0.004243524828812405,0.7267137672938471,3356438.3301,501171.1347,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27,0.13388147687831353,0.08831923898727255,0.005900790532293778,0.4955231191876569,0.4955231191876569,0.2901590542931129,0.3355570390317217,0.13093332475369268,0.2578345299632861,0.5643836584406462,0.0026900413998775133,0.7749493465694786,3355303.9816,501213.4794,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
28,0.41700931378450223,0.06536576385263312,0.004520100936265996,0.4887141642668438,0.4887141642668438,0.2827743425341794,0.3002615768214533,0.1656877192313821,0.2546484013123642,0.563200482746096,0.0032818747110868116,0.8472331895850267,3355700.7913,501222.499200002,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
29,0.21613641142070375,0.05000647482073335,0.0022075298318739284,0.4907090726003362,0.4907090726003362,0.2786600110360076,0.2663694900377357,0.17345962678187465,0.2570985595755043,0.564035159842605,0.003623634771882838,0.7725060539612221,3355995.2675,501303.898299997,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,0.13991882018613996,0.040736536983110395,0.05328068367859365,0.48284691786582357,0.48284691786582357,0.28263600723792615,0.2415207932423157,0.17306078940552122,0.2584855647234295,0.5614219033465023,0.004204395734581476,0.8813893251637073,3355979.1524,501539.5253,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
31,0.27707252052067616,0.11355374633947247,0.001940866244458733,0.4971213321277558,0.4971213321277558,0.3013193133022412,0.2926654761981623,0.2975909580902256,0.2588964238514178,0.563848633946475,0.006276088392376143,0.7273667622699612,3355056.4438,501640.337800004,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
32,0.07959224321813041,0.10802242582846988,0.003501452016685049,0.4795045431416627,0.4795045431416627,0.3053996989654465,0.2728658565100668,0.2506780133262874,0.25902058626385116,0.5606393803014449,0.005761228612273322,0.49881506392303654,3354954.8308,501778.2667,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33,0.2745837155438294,0.055108044473002764,0.004974402215479581,0.4937199822453481,0.4937199822453481,0.27874538119968917,0.13841021707032372,0.17308357919348982,0.25905310145512106,0.5632138258394331,0.00346576842121643,0.4544790417787274,3356655.2894,501995.906800001,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
34,0.09705262720615286,0.035987094616801094,0.0010195158106946877,0.4925073368651476,0.4925073368651476,0.27527898179829147,0.09767085961557148,0.1192672376550735,0.25900038808255604,0.5651460145750217,0.0023546733411402183,0.6998161170203131,3357019.7094,502168.138900003,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
35,0.04547812307658384,0.0889023519171615,0.0018792483359107329,0.49235956035340916,0.49235956035340916,0.2902504432218594,0.1370476479658358,0.2842424055108236,0.25904560731739873,0.565075290875459,0.005801364616605331,0.3808952868538992,3356311.3783,502330.203299998,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
36,0.06684761437066232,0.09768286450986824,0.0028702411409809152,0.4883091905760515,0.4883091905760515,0.0,0.21413225363677063,0.29459027765033124,0.25906096890017394,0.5632578181278622,0.006042594516527994,0.39926275816357787,3353903.6707,502337.490600002,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
37,0.007606173227617152,0.07641216147547225,0.006762214384952591,0.4829440987943083,0.4829440987943083,0.3017519421351112,0.19101060710936932,0.12662309483641815,0.25893871360344983,0.5630926199067973,0.0025602842922146053,0.7664205445272008,3355759.47,502413.501099996,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
38,0.9946023117447267,0.07854167059390513,0.0035507526990301483,0.4894432526364841,0.4894432526364841,0.29809072734609054,0.16684380582961067,0.2556740281807981,0.2587775509170539,0.5627837426394976,0.005170388171194004,0.7444488859287187,3355957.6109,502430.7535,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
