fid,aspect,elv,flowAcc,lithology,planCurv,profCurv,riverProx,roadProx,slope,soil,SPI,TPI,TRI,TWI,xcoord,ycoord
45,87.471305847168,6.36208915710449,2.46252298355103,17,0.000379225966753438,0.000379225966753438,11258.796875,29.1547603607178,1.56794607639313,10,98.8925857543945,-0.0529113337397575,0.53645271062851,-2.20514178276062,3370970.54998873,480613.453904184
46,261.712646484375,1031.87524414062,29.7638721466064,490,0.00747709861025214,0.00747709861025214,5649.24755859375,1.41421353816986,5.75280523300171,8,-1.30431532859802,-4.13223838806152,1.97467219829559,10.34339427948,3434752.73473357,526329.634094896
47,302.092254638672,40.8764305114746,3.67593169212341,17,-0.0211920253932476,-0.0211920253932476,17745.654296875,1,3.30241632461548,12,0.492498338222504,-0.513864159584045,1.55212616920471,3.05327105522156,3463899.01059719,427987.501978931
48,314.723297119141,795.603881835938,6.63796615600586,278,0.000769055506680161,0.000769055506680161,1442.49780273438,26.0192241668701,18.4752922058105,10,6.85423851013184,-1.15739476680756,6.46063852310181,2.18910980224609,3356195.46863826,518045.50024241
49,139.730514526367,309.720916748047,1.74876761436462,547,0.00701757939532399,0.00701757939532399,953.414916992188,8.24621105194092,7.18157148361206,9,12.6685447692871,1.61366391181946,2.86941051483154,-0.545837759971619,3641343.2969662,511400.75355054
50,92.1885681152344,570.885009765625,3.26779437065125,785,-0.00102665973827243,-0.00102665973827243,2532.11376953125,4.12310552597046,14.9377937316895,12,74.6753234863281,-1.98182642459869,5.25120830535889,-1.83680772781372,3454866.21888148,556450.648274967
51,340.726318359375,6.01889944076538,1.68886363506317,404,-0.037813026458025,-0.037813026458025,23936.9375,139.201293945312,1.13598322868347,14,8.28197193145752,0.135983198881149,0.514542579650879,-0.73842179775238,3513298.94870374,367327.452346049
52,245.591430664062,764.988647460938,2.27203989028931,490,0.00456296000629663,0.00456296000629663,4662.75634765625,4.4721360206604,5.751784324646,10,-2.5152792930603,1.08075940608978,1.9346330165863,7.74166679382324,3408751.25920531,557973.823315687
53,58.0400695800781,902.118530273438,8.60250949859619,686,-0.00203613936901093,-0.00203613936901093,1135.64965820312,86.9770050048828,36.0511817932129,8,7.10190105438232,18.2918758392334,13.9844331741333,2.15910482406616,3604656.49980438,556129.059253528
54,2.99518775939941,1087.22766113281,2.22992873191833,278,0.00636290851980448,0.00636290851980448,12533.251953125,61.1310081481934,36.6482162475586,5,6.03075408935547,-0.355594128370285,15.095648765564,0.0166081227362156,3403327.13588596,491799.248539618
55,122.373382568359,1532.05297851562,3.6444354057312,490,0.00148573203478009,0.00148573203478009,10794.1650390625,3.60555124282837,9.04942798614502,17,-12.4931755065918,-1.17354440689087,3.08276033401489,8.71883869171143,3590788.9983717,508999.481178973
56,116.341171264648,604.414672851562,157.695236206055,53,-0.00415777834132314,-0.00415777834132314,20608.865234375,17.4642486572266,3.37664389610291,5,177.3720703125,-1.51071083545685,1.19434988498688,4.9012713432312,3495838.0349372,467449.034585713
57,243.482894897461,6.31397199630737,6.81683206558228,17,-0.0266589000821114,-0.0266589000821114,31221.599609375,5.0990195274353,1.97994542121887,5,-14.9136028289795,-1.00416421890259,0.792057693004608,8.68346881866455,3511255.47003927,378250.237764395
58,263.372131347656,816.713195800781,26.4253234863281,278,-0.0112098939716816,-0.0112098939716816,8266.34765625,3.60555124282837,6.58184242248535,5,5.39096307754517,-5.16250038146973,3.11263489723206,4.41858148574829,3413431.81720013,528436.443322574
59,1.12667179107666,990.398315429688,4.81780958175659,232,0.00239048735238612,0.00239048735238612,15030.478515625,81.3019027709961,14.465069770813,12,8.18496417999268,3.03710436820984,5.10488033294678,1.0164293050766,3504955.64748566,537776.09599205
60,227.941467285156,1890.30139160156,28.0899887084961,547,-0.962222576141357,-0.962222576141357,8403.91015625,32.5729942321777,0.207083240151405,9,28.6923580169678,0.127675652503967,0.720779240131378,2.24410963058472,3521905.3901539,575106.769121712
61,202.110763549805,683.342956542969,1.87368607521057,785,0.0123394597321749,0.0123394597321749,9719.67578125,3.16227769851685,9.69133567810059,2,0.440858989953995,3.51010704040527,3.37999963760376,2.24679636955261,3491613.36144725,596640.052273962
62,223.693634033203,598.703430175781,2.13476085662842,237,0.00332325743511319,0.00332325743511319,16664.12890625,70.1783447265625,21.7783641815186,5,-3.97227954864502,7.95519542694092,8.08002281188965,7.74779748916626,3459220.35905066,440550.9231025
63,242.527572631836,706.739135742188,2.62210464477539,490,0.0107504781335592,0.0107504781335592,11726.96875,21.4009342193604,12.2684850692749,8,-4.11727237701416,-0.902302503585815,4.53008604049683,8.82742023468018,3421195.06604065,575455.557578594
64,296.067413330078,405.806365966797,2.27202916145325,792,0.00399989867582917,0.00399989867582917,3136.39916992188,50.9313278198242,13.7676553726196,9,-2.7365996837616,5.59969186782837,4.69057512283325,7.73356151580811,3441451.95969012,630942.077033228
65,70.3837280273438,540.310180664062,3.34740090370178,434,0.00431952299550176,0.00431952299550176,2340.1923828125,0,17.1257705688477,8,56.6677093505859,2.25649189949036,5.95362186431885,-1.11427271366119,3499139.79055005,622229.642895208
66,25.9407997131348,50.5900840759277,3.25187730789185,629,-0.000446685997303575,-0.000446685997303575,6192.2939453125,49.2442893981934,10.9994163513184,9,9.33009147644043,1.69168448448181,4.08717918395996,0.417144238948822,3533036.15600576,655081.013436082
67,155.536834716797,365.792419433594,2.78845739364624,792,-0.0185636635869741,-0.0185636635869741,10991.837890625,7.28010988235474,7.29651594161987,8,-3.76142573356628,1.15322959423065,2.55975031852722,7.81922197341919,3387872.61145904,593767.001156887
68,340.468811035156,27.6889686584473,1.12663793563843,82,0.00637545809149742,0.00637545809149742,9125.1298828125,5.83095169067383,1.59487295150757,11,-19.9753017425537,1.32006859779358,0.62973016500473,7.18886613845825,3425850.01281947,683073.933985881
69,169.649429321289,2126.91137695312,33.235164642334,547,-0.000131045046146028,-0.000131045046146028,60,6.40312433242798,4.37059164047241,15,-54.7192459106445,-5.26166582107544,1.89834153652191,10.550874710083,3489147.00728099,563313.04937748
70,314.310852050781,2749.46337890625,6.64894962310791,490,-0.0186562389135361,-0.0186562389135361,8522.21875,23,9.50815773010254,9,6.31578731536865,-3.20640444755554,3.71231079101562,1.87169277667999,3506763.551785,551366.509581856
71,233.143783569336,1881.47619628906,4.46221876144409,427,0.00359804928302765,0.00359804928302765,6833.48388671875,17.8044929504395,40.2005920410156,10,4.66855335235596,5.9545636177063,17.0451717376709,1.7843132019043,3447606.69166337,608515.931601498
72,276.178070068359,631.102355957031,4.79028177261353,785,-0.00750415911898017,-0.00750415911898017,3511.40991210938,21.1896209716797,6.20804595947266,4,3.64014077186584,-3.6318211555481,2.22766423225403,2.04926681518555,3588502.43165297,585110.53789648
73,174.983184814453,6.82345676422119,1.29840183258057,17,0.0263266656547785,0.0263266656547785,9259.1201171875,39.6988677978516,1.9613778591156,10,-2.0297474861145,0.80895859003067,0.790309309959412,7.32133817672729,3522630.68386971,356019.767068553
74,348.210540771484,1119.34802246094,41.0877532958984,785,0.00727543979883194,0.00727543979883194,6662.76953125,11,9.68821430206299,9,-256.170227050781,6.63318872451782,3.48023557662964,10.7176952362061,3512617.15739736,591469.924927468
75,87.2887115478516,1271.0166015625,8.48909473419189,490,-0.00321562332101166,-0.00321562332101166,7269.91064453125,7.81024980545044,18.210542678833,10,-70.2308197021484,-8.23062705993652,6.66960334777832,9.21435070037842,3421922.07958076,532607.056190177
76,225.467269897461,1038.48071289062,5.76330804824829,547,-0.000600802944973111,-0.000600802944973111,15869.4326171875,21.2132034301758,26.2831745147705,8,6.79707622528076,-3.95742559432983,9.60227680206299,1.56829953193665,3419534.64896029,561079.122033592
77,68.7205505371094,417.481994628906,1.13138949871063,17,0.0337614826858044,0.0337614826858044,201.246109008789,12.0415945053101,5.20519828796387,12,-2.8949089050293,2.55377435684204,2.74710893630981,7.76093864440918,3472908.66029625,543343.471645031
78,213.081527709961,3.46322989463806,1.60353910923004,17,0.0145718781277537,0.0145718781277537,7046.6162109375,3.60555124282837,1.43886113166809,10,11.6331367492676,-0.0402825325727463,0.536368489265442,0.568275690078735,3366875.24500267,481646.562998765
79,250.105194091797,1601.779296875,5.06038761138916,792,0.00849036872386932,0.00849036872386932,8506.732421875,85.5862121582031,5.82430410385132,10,-18.2977199554443,-2.48835062980652,2.01119160652161,9.79140377044678,3569419.76975357,537722.015153435
80,286.000793457031,1070.88110351562,10.3999300003052,785,-0.00238439999520779,-0.00238439999520779,4800.9375,2.2360680103302,8.44504833221436,9,17.2782363891602,-2.70328330993652,3.3543963432312,2.06581950187683,3531585.7075054,593875.813810621
81,213.592651367188,1442.580078125,6.40924978256226,686,0.00724077178165317,0.00724077178165317,6723.4814453125,21.931713104248,28.1994075775146,9,-31.4834327697754,-1.93434929847717,10.2611541748047,9.36549758911133,3585513.36218467,550057.526791518
82,19.3829879760742,914.557556152344,13.2468404769897,686,-0.0150912823155522,-0.0150912823155522,150,38.0788650512695,71.3600997924805,8,16.9186477661133,218.609100341797,69.083137512207,2.73658776283264,3574803.52412618,561426.106815573
83,141.083541870117,421.385650634766,5.39028787612915,685,-0.00487510720267892,-0.00487510720267892,4376.7109375,48.1040534973145,17.9273509979248,11,1.02639293670654,1.75591468811035,7.25280141830444,3.25076818466187,3392978.87528023,609299.438908906
84,23.8123645782471,690.5458984375,15.2222909927368,53,-0.0213312692940235,-0.0213312692940235,2908.14379882812,30.3644523620605,3.7419900894165,8,108.796478271484,-0.974093079566956,1.51017189025879,0.357995629310608,3553476.49137591,458351.222971323
85,42.1233558654785,194.950210571289,8.72600364685059,686,0.00758090009912848,0.00758090009912848,14251.263671875,242.40461730957,3.76812219619751,5,17.7370223999023,0.682332217693329,1.31423342227936,1.87157380580902,3696359.02491269,555940.29478981
